# t ax ay az mx my mz
0.000000 -120.000000 0.000000 0.000000 -110.000000 0.000000 -0.000000
0.002000 -119.519997 0.282727 0.282727 -109.480003 0.188494 -0.010000
0.004000 -119.040001 0.565353 0.565353 -108.959999 0.376977 -0.020000
0.006000 -118.559998 0.847778 0.847778 -108.440002 0.565439 -0.030000
0.008000 -118.080002 1.129902 1.129902 -107.919998 0.753868 -0.040000
0.010000 -117.599998 1.411625 1.411625 -107.400002 0.942255 -0.050000
0.012000 -117.120003 1.692846 1.692846 -106.879997 1.130588 -0.060000
0.014000 -116.639999 1.973465 1.973465 -106.360001 1.318856 -0.070000
0.016000 -116.160004 2.253384 2.253384 -105.839996 1.507050 -0.080000
0.018000 -115.680000 2.532501 2.532501 -105.320000 1.695158 -0.090000
0.020000 -115.199997 2.810720 2.810720 -104.800003 1.883170 -0.100000
0.022000 -114.720001 3.087939 3.087939 -104.279999 2.071075 -0.110000
0.024000 -114.239998 3.364062 3.364062 -103.760002 2.258862 -0.120000
0.026000 -113.760002 3.638988 3.638988 -103.239998 2.446521 -0.130000
0.028000 -113.279999 3.912623 3.912623 -102.720001 2.634040 -0.140000
0.030000 -112.800003 4.184866 4.184866 -102.199997 2.821410 -0.150000
0.032000 -112.320000 4.455624 4.455624 -101.680000 3.008619 -0.160000
0.034000 -111.839996 4.724798 4.724798 -101.160004 3.195657 -0.170000
0.036000 -111.360001 4.992293 4.992293 -100.639999 3.382514 -0.180000
0.038000 -110.879997 5.258014 5.258014 -100.120003 3.569178 -0.190000
0.040000 -110.400002 5.521868 5.521868 -99.599998 3.755640 -0.200000
0.042000 -109.919998 5.783760 5.783760 -99.080002 3.941888 -0.210000
0.044000 -109.440002 6.043596 6.043596 -98.559998 4.127912 -0.220000
0.046000 -108.959999 6.301286 6.301286 -98.040001 4.313701 -0.230000
0.048000 -108.479996 6.556737 6.556737 -97.519997 4.499245 -0.240000
0.050000 -108.000000 6.809858 6.809858 -97.000000 4.684533 -0.250000
0.052000 -107.519997 7.060559 7.060559 -96.479996 4.869555 -0.260000
0.054000 -107.040001 7.308752 7.308752 -95.959999 5.054300 -0.270000
0.056000 -106.559998 7.554348 7.554348 -95.440002 5.238758 -0.280000
0.058000 -106.080002 7.797260 7.797260 -94.919998 5.422918 -0.290000
0.060000 -105.599998 8.037402 8.037402 -94.400002 5.606770 -0.300000
0.062000 -105.120003 8.274688 8.274688 -93.880005 5.790302 -0.310000
0.064000 -104.639999 8.509034 8.509034 -93.360001 5.973506 -0.320000
0.066000 -104.160004 8.740357 8.740357 -92.839996 6.156370 -0.330000
0.068000 -103.680000 8.968575 8.968575 -92.320000 6.338884 -0.340000
0.070000 -103.199997 9.193605 9.193605 -91.800003 6.521038 -0.350000
0.072000 -102.720001 9.415370 9.415370 -91.279999 6.702820 -0.360000
0.074000 -102.239998 9.633790 9.633790 -90.760002 6.884223 -0.370000
0.076000 -101.760002 9.848786 9.848786 -90.239998 7.065233 -0.380000
0.078000 -101.279999 10.060284 10.060284 -89.720001 7.245842 -0.390000
0.080000 -100.800003 10.268207 10.268207 -89.199997 7.426039 -0.400000
0.082000 -100.320000 10.472481 10.472481 -88.680000 7.605815 -0.410000
0.084000 -99.839996 10.673036 10.673036 -88.160004 7.785157 -0.420000
0.086000 -99.360001 10.869798 10.869798 -87.639999 7.964057 -0.430000
0.088000 -98.880005 11.062696 11.062696 -87.120003 8.142504 -0.440000
0.090000 -98.400002 11.251667 11.251667 -86.599998 8.320489 -0.450000
0.092000 -97.919998 11.436638 11.436638 -86.080002 8.498000 -0.460000
0.094000 -97.440002 11.617546 11.617546 -85.559998 8.675029 -0.470000
0.096000 -96.959999 11.794327 11.794327 -85.040001 8.851564 -0.480000
0.098000 -96.480003 11.966916 11.966916 -84.520004 9.027596 -0.490000
0.100000 -96.000000 12.135255 12.135255 -84.000000 9.203115 -0.500000
0.102000 -95.520004 12.299281 12.299281 -83.479996 9.378110 -0.510000
0.104000 -95.040001 12.458939 12.458939 -82.959999 9.552572 -0.520000
0.106000 -94.559998 12.614169 12.614169 -82.440002 9.726492 -0.530000
0.108000 -94.080002 12.764917 12.764917 -81.919998 9.899858 -0.540000
0.110000 -93.599998 12.911130 12.911130 -81.400002 10.072661 -0.550000
0.112000 -93.119995 13.052756 13.052756 -80.879997 10.244892 -0.560000
0.114000 -92.639999 13.189745 13.189745 -80.360001 10.416541 -0.570000
0.116000 -92.160004 13.322046 13.322046 -79.839996 10.587597 -0.580000
0.118000 -91.680000 13.449616 13.449616 -79.320000 10.758052 -0.590000
0.120000 -91.199997 13.572406 13.572406 -78.800003 10.927895 -0.600000
0.122000 -90.720001 13.690374 13.690374 -78.279999 11.097116 -0.610000
0.124000 -90.239998 13.803477 13.803477 -77.760002 11.265707 -0.620000
0.126000 -89.760002 13.911677 13.911677 -77.239998 11.433658 -0.630000
0.128000 -89.279999 14.014935 14.014935 -76.720001 11.600959 -0.640000
0.130000 -88.800003 14.113211 14.113211 -76.199997 11.767598 -0.650000
0.132000 -88.320000 14.206474 14.206474 -75.680000 11.933571 -0.660000
0.134000 -87.839996 14.294690 14.294690 -75.160004 12.098865 -0.670000
0.136000 -87.360001 14.377827 14.377827 -74.639999 12.263470 -0.680000
0.138000 -86.880005 14.455854 14.455854 -74.120003 12.427379 -0.690000
0.140000 -86.400002 14.528748 14.528748 -73.599998 12.590580 -0.700000
0.142000 -85.919998 14.596478 14.596478 -73.080002 12.753068 -0.710000
0.144000 -85.440002 14.659021 14.659021 -72.559998 12.914827 -0.720000
0.146000 -84.959999 14.716357 14.716357 -72.040001 13.075855 -0.730000
0.148000 -84.479996 14.768465 14.768465 -71.520004 13.236138 -0.740000
0.150000 -84.000000 14.815326 14.815326 -71.000000 13.395672 -0.750000
0.152000 -83.520004 14.856921 14.856921 -70.479996 13.554439 -0.760000
0.154000 -83.040001 14.893239 14.893239 -69.959999 13.712439 -0.770000
0.156000 -82.559998 14.924265 14.924265 -69.440002 13.869658 -0.780000
0.158000 -82.080002 14.949989 14.949989 -68.919998 14.026091 -0.790000
0.160000 -81.600006 14.970401 14.970401 -68.400002 14.181723 -0.800000
0.162000 -81.119995 14.985494 14.985494 -67.880005 14.336552 -0.810000
0.164000 -80.639999 14.995263 14.995263 -67.360001 14.490564 -0.820000
0.166000 -80.160004 14.999704 14.999704 -66.839996 14.643753 -0.830000
0.168000 -79.680000 14.998816 14.998816 -66.320000 14.796109 -0.840000
0.170000 -79.199997 14.992598 14.992598 -65.800003 14.947626 -0.850000
0.172000 -78.720001 14.981054 14.981054 -65.279999 15.098290 -0.860000
0.174000 -78.240005 14.964188 14.964188 -64.760002 15.248097 -0.870000
0.176000 -77.760002 14.942004 14.942004 -64.240005 15.397038 -0.880000
0.178000 -77.279999 14.914512 14.914512 -63.720001 15.545103 -0.890000
0.180000 -76.800003 14.881720 14.881720 -63.199997 15.692285 -0.900000
0.182000 -76.320000 14.843642 14.843642 -62.680000 15.838573 -0.910000
0.184000 -75.839996 14.800289 14.800289 -62.160004 15.983963 -0.920000
0.186000 -75.360001 14.751678 14.751678 -61.639999 16.128443 -0.930000
0.188000 -74.880005 14.697826 14.697826 -61.120003 16.272007 -0.940000
0.190000 -74.400002 14.638751 14.638751 -60.600006 16.414644 -0.950000
0.192000 -73.919998 14.574475 14.574475 -60.080002 16.556351 -0.960000
0.194000 -73.440002 14.505022 14.505022 -59.559998 16.697113 -0.970000
0.196000 -72.960007 14.430415 14.430415 -59.040001 16.836927 -0.980000
0.198000 -72.479996 14.350681 14.350681 -58.520004 16.975786 -0.990000
0.200000 -72.000000 14.265847 14.265847 -58.000000 17.113680 -1.000000
0.202000 -71.519997 14.175946 14.175946 -57.479996 17.250599 -1.010000
0.204000 -71.040001 14.081008 14.081008 -56.959999 17.386536 -1.020000
0.206000 -70.559998 13.981068 13.981068 -56.440002 17.521486 -1.030000
0.208000 -70.080002 13.876158 13.876158 -55.919998 17.655443 -1.040000
0.210000 -69.600006 13.766319 13.766319 -55.400002 17.788393 -1.050000
0.212000 -69.119995 13.651589 13.651589 -54.880005 17.920332 -1.060000
0.214000 -68.639999 13.532010 13.532010 -54.360001 18.051252 -1.070000
0.216000 -68.160004 13.407621 13.407621 -53.840000 18.181149 -1.080000
0.218000 -67.680000 13.278471 13.278471 -53.320000 18.310007 -1.090000
0.220000 -67.199997 13.144601 13.144601 -52.799999 18.437828 -1.100000
0.222000 -66.720001 13.006061 13.006061 -52.279999 18.564602 -1.110000
0.224000 -66.239998 12.862900 12.862900 -51.759998 18.690317 -1.120000
0.226000 -65.760002 12.715168 12.715168 -51.240002 18.814970 -1.130000
0.228000 -65.279999 12.562920 12.562920 -50.720001 18.938557 -1.140000
0.230000 -64.800003 12.406209 12.406209 -50.200001 19.061064 -1.150000
0.232000 -64.320000 12.245089 12.245089 -49.680000 19.182487 -1.160000
0.234000 -63.840000 12.079618 12.079618 -49.160000 19.302822 -1.170000
0.236000 -63.360001 11.909855 11.909855 -48.639999 19.422058 -1.180000
0.238000 -62.879997 11.735861 11.735861 -48.119999 19.540192 -1.190000
0.240000 -62.400002 11.557698 11.557698 -47.600002 19.657211 -1.200000
0.242000 -61.920002 11.375428 11.375428 -47.080002 19.773115 -1.210000
0.244000 -61.439999 11.189116 11.189116 -46.559998 19.887896 -1.220000
0.246000 -60.959999 10.998829 10.998829 -46.039997 20.001545 -1.230000
0.248000 -60.480000 10.804636 10.804636 -45.520004 20.114058 -1.240000
0.250000 -60.000000 10.606602 10.606602 -45.000000 20.225426 -1.250000
0.252000 -59.520000 10.404799 10.404799 -44.479996 20.335644 -1.260000
0.254000 -59.039997 10.199299 10.199299 -43.959999 20.444708 -1.270000
0.256000 -58.559998 9.990176 9.990176 -43.439995 20.552608 -1.280000
0.258000 -58.080002 9.777506 9.777506 -42.920006 20.659340 -1.290000
0.260000 -57.600002 9.561361 9.561361 -42.400002 20.764898 -1.300000
0.262000 -57.120003 9.341819 9.341819 -41.880005 20.869274 -1.310000
0.264000 -56.639999 9.118956 9.118956 -41.360001 20.972466 -1.320000
0.266000 -56.160000 8.892853 8.892853 -40.839996 21.074465 -1.330000
0.268000 -55.680000 8.663590 8.663590 -40.320000 21.175266 -1.340000
0.270000 -55.199997 8.431250 8.431250 -39.799995 21.274862 -1.350000
0.272000 -54.719994 8.195913 8.195913 -39.279999 21.373249 -1.360000
0.274000 -54.240005 7.957668 7.957668 -38.760002 21.470421 -1.370000
0.276000 -53.760002 7.716593 7.716593 -38.240005 21.566374 -1.380000
0.278000 -53.279999 7.472775 7.472775 -37.720001 21.661100 -1.390000
0.280000 -52.800003 7.226304 7.226304 -37.199997 21.754595 -1.400000
0.282000 -52.320000 6.977267 6.977267 -36.680000 21.846851 -1.410000
0.284000 -51.839996 6.725748 6.725748 -36.159996 21.937868 -1.420000
0.286000 -51.360001 6.471840 6.471840 -35.639999 22.027637 -1.430000
0.288000 -50.880005 6.215635 6.215635 -35.120003 22.116152 -1.440000
0.290000 -50.400002 5.957219 5.957219 -34.599998 22.203411 -1.450000
0.292000 -49.919998 5.696687 5.696687 -34.080002 22.289410 -1.460000
0.294000 -49.440002 5.434130 5.434130 -33.559998 22.374138 -1.470000
0.296000 -48.959999 5.169643 5.169643 -33.040001 22.457596 -1.480000
0.298000 -48.479996 4.903318 4.903318 -32.519997 22.539776 -1.490000
0.300000 -48.000000 4.635252 4.635252 -32.000000 22.620678 -1.500000
